Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-24 15:40:02.259511,"[2396661837, 2396661837, 2396661837]",Sparse sharing,5000,1,0.0001,0.000119,0
2023-05-24 15:40:02.260170,"[2396661837, 2396661837, 2396661837]",Sparse,5000,1,0.0001,0.000463,26
2023-05-24 15:40:02.992413,"[609157753, 609157753, 609157753]",Dense sharing,5000,1,0.001,0.067568,280625
2023-05-24 15:40:03.060414,"[609157753, 609157753, 609157753]",Dense,5000,1,0.001,0.001877,372
2023-05-24 15:40:03.692631,"[609157753, 609157753, 609157753]",Sparse sharing,5000,1,0.001,0.004525,5373
2023-05-24 15:40:03.697591,"[609157753, 609157753, 609157753]",Sparse,5000,1,0.001,0.178468,144503
2023-05-24 15:40:04.504051,"[3636681279, 3636681279, 3636681279]",Dense sharing,5000,1,0.005,0.053991,280639
2023-05-24 15:40:04.558476,"[3636681279, 3636681279, 3636681279]",Dense,5000,1,0.005,0.001782,372
2023-05-24 15:40:05.236411,"[3636681279, 3636681279, 3636681279]",Sparse sharing,5000,1,0.005,0.007086,24098
2023-05-24 15:40:05.243857,"[3636681279, 3636681279, 3636681279]",Sparse,5000,1,0.005,0.30121,585709
2023-05-24 15:40:06.165359,"[2571455207, 2571455207, 2571455207]",Dense sharing,5000,1,0.01,0.102136,280632
2023-05-24 15:40:06.267946,"[2571455207, 2571455207, 2571455207]",Dense,5000,1,0.01,0.001895,372
2023-05-24 15:40:07.000225,"[2571455207, 2571455207, 2571455207]",Sparse sharing,5000,1,0.01,0.012444,47487
2023-05-24 15:40:07.013026,"[2571455207, 2571455207, 2571455207]",Sparse,5000,1,0.01,0.519408,1137230
2023-05-24 15:40:08.244384,"[273549031, 273549031, 273549031]",Dense sharing,7000,1,0.0001,0.103661,392615
2023-05-24 15:40:08.348496,"[273549031, 273549031, 273549031]",Dense,7000,1,0.0001,0.001967,372
2023-05-24 15:40:08.990525,"[273549031, 273549031, 273549031]",Sparse sharing,7000,1,0.0001,0.001745,1632
2023-05-24 15:40:08.992645,"[273549031, 273549031, 273549031]",Sparse,7000,1,0.0001,0.104088,56276
2023-05-24 15:40:09.724064,"[3064717695, 3064717695, 3064717695]",Dense sharing,7000,1,0.001,0.088024,392627
2023-05-24 15:40:09.812556,"[3064717695, 3064717695, 3064717695]",Dense,7000,1,0.001,0.003141,372
2023-05-24 15:40:10.516742,"[3064717695, 3064717695, 3064717695]",Sparse sharing,7000,1,0.001,0.003183,7244
